text,model,type,origin
"Bo1eto de contribuição assistencia1
Cedente sindicato código do beneficiário
Autenticação bancária 00000.00000 11111.111111 22222.222222
Período de apuração [DATE] a [DATE]
5indicato dos empregados contribuição confederativa",BoletoSindicato,GuiaPagamento,synthetic
"INSS Guia da Previdência Social GPS
Ministério da Previdência Social
Código de pagamento 2100
Identificação do sujeito passivo [CNPJ]
Vencimento [DATE] valor total [MONEY]",GuiaGPS,GuiaPagamento,synthetic
"Período de apuração [DATE] a [DATE]
Guia de Arrecadação - GA
Guia de Arrecadação
Estado do Rio Grande Do Sul
Identificação do sujeito passivo [CNPJ]",GARS,GuiaPagamento,synthetic
"Identificação do sujeito passivo [CNPJ]
Contrato de prestação de serviços cláusula primeira
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
As partes acima identificadas têm entre si justo e contratado
Código de barras 85640000001234567890123456789012345678901234",Desconhecido,Desconhecido,synthetic
"Contrato de prestação de serviços cláusula primeira
As partes acima identificadas têm entre si justo e contratado
Identificação do sujeito passivo [CNPJ]
Código de barras 85640000001234567890123456789012345678901234",Desconhecido,Desconhecido,synthetic
"IRRF - Rendimento do trabalho assalariado DCTFWeb
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Período de apuração [DATE] a [DATE]
Documento de Arrecadação de Receitas Federais
Contribuição previdenciária CONTRPREV",DCTFWEB,GuiaPagamento,synthetic
"Documento de Arrecadação de Receitas Federais
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
DARF código da receita 2089
Ministério da Fazenda Secretaria da Receita Federal do Brasil
Identificação do sujeito passivo [CNPJ]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Código de barras 85640000001234567890123456789012345678901234",DARF,GuiaPagamento,synthetic
"Código de barras 85640000001234567890123456789012345678901234
Guia de Arrecadação
Autenticação bancária 00000.00000 11111.111111 22222.222222
Guia de Arrecadação - GA
Estado do Rio Grande Do Sul
Período de apuração [DATE] a [DATE]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",GARS,GuiaPagamento,synthetic
"Fundo de Garantia do Tempo de Serviço
Código de barras 85640000001234567890123456789012345678901234
Período de apuração [DATE] a [DATE]
Competência da guia FGTS Digital
Autenticação bancária 00000.00000 11111.111111 22222.222222
GFD - Guia do FGTS Digital",FGTSDigital,GuiaPagamento,synthetic
"Boleto de contribuição assistencial
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Sindicato dos empregados contribuição confederativa
Código de barras 85640000001234567890123456789012345678901234
Cedente sindicato código do beneficiário",BoletoSindicato,GuiaPagamento,synthetic
"5istema Púb1ico de Escrituração Digita1 5PED
Vencimento [DATE] va1or tota1 [MONEY]
EFD 1CM5 1P1 número do recibo
1dentificação do sujeito passivo [CNPJ]
Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]
Recibo de entrega de Escrituração Fisca1 Digita1",SPEDFiscal,Recibo,synthetic
